

text,platform,sentiment,engagement_score,review_date
الطعم ممتاز,facebook,positive,450,2026-03-20
الثمن غالي شوية ولكن الجودة تستاهل,tiktok,neutral,1200,2026-03-21
ma3jbnich packaging ,facebook,negative,89,2026-03-19
top qualité je recommande fortement,jumia,positive,34,2026-03-22
 نشريش مرة أخرى,tiktok,negative,3400,2026-03-18
3jebni ramy les saveurs sont bonnes,youtube,positive,210,2026-03-23
ما لقيتش في الحانوت توزيع خايب,facebook,negative,67,2026-03-17
prix correct pour la qualité,jumia,positive,12,2026-03-24
غالي المنتج هذا يستاهلش,facebook,negative,230,2026-03-21
3jebni bzzaf el gout dyal ramy mango, rani nchriha dima ❤,facebook,positive,342,2025-11-18



